Date,Time,Open,High,Low,Close,Volume ,Filename
2018.01.06,00:00,16682.0,17069.99,16200.0,16823.0,40914,TXT\BTCUSD_D1.csv
2018.01.07,00:00,16844.52,16946.99,16119.93,16127.9,1793,TXT\BTCUSD_D1.csv
2018.01.08,00:00,16127.96,16480.0,13885.0,14918.37,41488,TXT\BTCUSD_D1.csv
2018.01.09,00:00,14962.3,15347.08,14112.22,14490.13,38099,TXT\BTCUSD_D1.csv
2018.01.10,00:00,14490.14,14679.99,13392.0,14491.0,42977,TXT\BTCUSD_D1.csv
2018.01.11,00:00,14471.36,14951.4,12819.05,13444.1,49197,TXT\BTCUSD_D1.csv
2018.01.12,00:00,13444.1,14130.0,12787.27,13743.0,36606,TXT\BTCUSD_D1.csv
2018.01.13,00:00,13743.0,14549.08,13548.64,14150.41,41420,TXT\BTCUSD_D1.csv
2018.01.14,00:00,14150.41,14150.41,13370.0,13370.01,1621,TXT\BTCUSD_D1.csv
2018.01.15,00:00,13370.01,14362.01,13370.0,13919.58,40680,TXT\BTCUSD_D1.csv
2018.01.16,00:00,13919.58,13931.79,10395.0,10733.3,38140,TXT\BTCUSD_D1.csv
2018.01.17,00:00,10752.08,11771.49,9213.16,11335.01,41693,TXT\BTCUSD_D1.csv
2018.01.18,00:00,11335.02,12117.01,10673.0,11585.0,44077,TXT\BTCUSD_D1.csv
2018.01.19,00:00,11585.01,12030.0,11005.18,11330.0,44914,TXT\BTCUSD_D1.csv
2018.01.20,00:00,11330.01,13026.85,11230.0,12883.01,40018,TXT\BTCUSD_D1.csv
2018.01.21,00:00,12878.2,12915.53,12838.0,12844.84,115,TXT\BTCUSD_D1.csv
2018.01.22,00:00,11329.73,11881.0,10008.42,10330.0,44380,TXT\BTCUSD_D1.csv
2018.01.23,00:00,10331.36,11380.01,9907.54,10960.44,46813,TXT\BTCUSD_D1.csv
2018.01.24,00:00,10960.59,11479.99,10468.13,11213.84,44332,TXT\BTCUSD_D1.csv
2018.01.25,00:00,11213.84,11716.4,10849.09,11225.73,41603,TXT\BTCUSD_D1.csv
2018.01.26,00:00,11225.8,11610.0,10243.18,10898.0,41409,TXT\BTCUSD_D1.csv
2018.01.27,00:00,10898.0,11609.41,10760.18,11533.38,41009,TXT\BTCUSD_D1.csv
2018.01.28,00:00,11533.4,11969.1,11312.3,11771.51,39626,TXT\BTCUSD_D1.csv
